"Compound","C_Label","fraction","tissue","time","omitFromFit"
"succinate",3,0.00015978,"spleen",3,FALSE
"malate",2,0.001334313,"spleen",3,FALSE
"malate",3,0.002134948,"spleen",3,FALSE
"aspartate",2,0.000520389,"spleen",3,FALSE
"aspartate",3,0.001155539,"spleen",3,FALSE
"glutamate",1,0.007355786,"spleen",20,FALSE
"glutamate",2,0.012269142,"spleen",20,FALSE
"glutamate",3,0.002384579,"spleen",20,FALSE
"succinate",1,0.009740609,"spleen",20,FALSE
"succinate",2,0.015471397,"spleen",20,FALSE
"succinate",3,0.000307599,"spleen",20,FALSE
"malate",1,0.010129628,"spleen",20,FALSE
"malate",2,0.010918419,"spleen",20,FALSE
"malate",3,0.004441544,"spleen",20,FALSE
"aspartate",1,0.007026271,"spleen",20,FALSE
"aspartate",2,0.009476074,"spleen",20,FALSE
"aspartate",3,0.004308155,"spleen",20,FALSE
"glutamate",1,0.004608319,"brown adipose",3,FALSE
"glutamate",2,0.003959273,"brown adipose",3,FALSE
"glutamate",3,0.000654658,"brown adipose",3,FALSE
"succinate",1,0.018357731,"brown adipose",3,FALSE
"succinate",2,0.009435015,"brown adipose",3,FALSE
"succinate",3,0.006849941,"brown adipose",3,FALSE
"malate",1,0.012617201,"brown adipose",3,FALSE
"malate",2,0.006247386,"brown adipose",3,FALSE
"malate",3,0.00564127,"brown adipose",3,FALSE
"aspartate",1,0.003490317,"brown adipose",3,FALSE
"aspartate",2,0.002930519,"brown adipose",3,FALSE
"aspartate",3,0.004033107,"brown adipose",3,FALSE
"glutamate",1,0.011532818,"brown adipose",20,FALSE
"glutamate",2,0.016832426,"brown adipose",20,FALSE
"glutamate",3,0.003833532,"brown adipose",20,FALSE
"succinate",1,0.031627167,"brown adipose",20,FALSE
"succinate",2,0.020753131,"brown adipose",20,FALSE
"succinate",3,0.011241965,"brown adipose",20,FALSE
